student_id,roll_no,department,semester,attendance_percentage,current_cgpa,previous_cgpa,cgpa_trend,backlogs,internal_marks,assignment_score,credits_completed,event_participation,internship_status,skill_score,placement_status,at_risk,risk_probability_ground_truth
STU-0756,22CS856,CSE,7,91.5,9.43,9.63,declining,0,90.8,92.4,143,89.4,Completed,80.1,Placed,0,0.091
STU-2718,25IT118,IT,2,89.5,9.01,9.24,declining,0,88.8,84.1,43,96.1,,92.0,Not Eligible,0,0.098
STU-5537,25EE237,EEE,2,82.9,8.44,8.63,declining,0,82.7,73.0,44,85.0,,70.3,Not Eligible,0,0.085
STU-8295,23CI295,Civil,6,81.7,6.47,6.74,declining,0,60.9,87.9,124,76.6,,82.3,In Process,0,0.18
STU-2517,25IT817,IT,2,78.7,7.89,8.17,declining,0,82.7,85.4,38,53.9,,61.5,Not Eligible,0,0.257
STU-3393,22IT793,IT,8,88.8,9.24,9.4,declining,1,99.0,86.0,165,83.8,Completed,87.0,In Process,0,0.141
STU-1484,25CS684,CSE,1,85.2,7.89,7.94,stable,0,87.4,84.0,23,41.1,,73.8,Not Eligible,0,0.099
STU-0009,23CS109,CSE,5,77.3,9.22,9.01,improving,0,91.3,78.5,101,62.0,Completed,85.4,Eligible,0,0.048
STU-3041,22IT441,IT,7,78.3,7.65,8.61,declining,0,79.5,75.1,148,77.2,Completed,86.5,Placed,0,0.402
STU-8287,22CI287,Civil,8,74.0,7.49,7.95,declining,0,82.4,74.0,164,74.5,,73.9,Not Eligible,0,0.287
STU-7989,22CI889,Civil,7,70.5,7.69,7.96,declining,0,80.0,72.8,149,38.7,Completed,81.3,Placed,0,0.155
STU-4561,23EC161,ECE,5,73.6,7.25,7.15,stable,0,69.4,70.8,105,72.6,Completed,75.4,Eligible,0,0.068
STU-3199,25IT599,IT,2,74.6,8.8,8.86,stable,0,85.4,81.5,44,97.0,Ongoing,80.0,Not Eligible,0,0.137
STU-1064,24CS264,CSE,4,83.4,8.23,8.05,improving,0,76.2,88.5,80,92.5,,82.2,Not Eligible,0,0.111
STU-1713,22CS913,CSE,7,82.7,8.46,8.77,declining,0,70.4,80.7,149,65.8,Ongoing,91.2,Placed,0,0.188
STU-5637,23EE337,EEE,6,83.4,7.26,6.22,improving,0,69.8,89.2,128,46.4,,74.9,Eligible,0,0.074
STU-0263,25CS363,CSE,2,92.5,7.98,8.04,stable,0,86.4,74.4,40,58.8,,62.0,Not Eligible,0,0.141
STU-7312,22ME212,Mechanical,8,87.2,6.7,6.65,stable,0,68.7,94.5,170,41.2,,64.5,In Process,0,0.06
STU-1260,23CS460,CSE,5,75.4,9.69,9.55,stable,0,94.9,73.2,106,42.2,Completed,80.2,Eligible,0,0.069
STU-4556,23EC156,ECE,6,69.6,6.36,6.61,declining,0,66.5,69.6,126,62.8,,78.2,In Process,0,0.246
STU-4371,24EC871,ECE,4,78.9,8.37,8.59,declining,0,88.1,72.2,82,44.9,,76.3,Not Eligible,0,0.154
STU-0426,23CS526,CSE,5,91.5,8.63,8.2,improving,0,88.0,94.9,107,82.5,Completed,98.0,Eligible,0,0.144
STU-1010,24CS210,CSE,4,71.5,6.96,6.54,improving,0,82.8,63.5,80,38.7,,64.0,Not Eligible,0,0.154
STU-2394,23IT694,IT,6,84.4,7.05,6.5,improving,0,72.6,89.0,122,71.6,,73.5,Eligible,0,0.133
STU-3103,23IT503,IT,6,75.5,6.82,6.79,stable,0,60.9,70.2,128,56.8,Completed,88.1,Eligible,0,0.162
STU-7439,24ME339,Mechanical,3,92.8,7.66,7.74,stable,0,73.8,90.9,61,78.4,,78.3,Not Eligible,0,0.074
STU-2510,22IT810,IT,8,89.7,8.55,8.3,improving,0,90.6,90.5,164,71.4,,75.1,Placed,0,0.038
STU-0022,25CS122,CSE,2,83.6,9.41,9.16,improving,0,89.4,85.8,40,69.3,Ongoing,86.6,Not Eligible,0,0.093
STU-2777,22IT177,IT,7,72.4,7.35,7.25,stable,0,75.3,67.0,149,77.3,,54.2,Placed,0,0.093
STU-4818,22EC418,ECE,7,71.0,8.81,8.91,stable,0,84.7,62.9,145,51.4,Completed,98.0,Placed,0,0.219
STU-0772,22CS872,CSE,7,74.5,8.07,8.02,stable,0,83.0,72.0,147,23.1,Completed,79.0,Placed,0,0.067
STU-0213,23CS313,CSE,6,80.6,7.19,7.67,declining,0,81.8,71.0,127,76.2,,69.2,Eligible,0,0.108
STU-0298,25CS398,CSE,2,86.4,7.56,8.4,declining,0,72.1,84.1,42,65.6,Ongoing,71.3,Not Eligible,0,0.312
STU-2255,25IT555,IT,2,83.0,7.79,7.65,stable,0,70.2,78.4,44,98.0,,86.6,Not Eligible,0,0.09
STU-3651,24EC151,ECE,4,77.1,9.64,9.81,declining,0,99.0,77.5,86,41.8,,78.8,Not Eligible,0,0.136
STU-5370,22EE970,EEE,8,86.8,8.27,8.31,stable,0,76.8,88.7,166,57.1,Completed,94.1,Placed,0,0.084
STU-5646,25EE346,EEE,1,90.0,7.25,7.27,stable,0,76.2,92.2,23,55.4,,88.3,Not Eligible,0,0.168
STU-5560,23EE260,EEE,6,59.9,6.37,6.28,stable,0,67.0,54.4,126,52.1,,54.9,In Process,1,0.637
STU-5898,23EE598,EEE,6,82.2,6.49,6.43,stable,0,69.2,89.7,127,59.0,Completed,81.6,In Process,0,0.083
STU-1719,22CS919,CSE,8,94.4,6.69,6.27,improving,0,70.8,99.0,168,83.3,Ongoing,53.4,In Process,0,0.086
STU-4575,25EC175,ECE,1,83.6,8.01,8.63,declining,0,79.7,77.3,23,23.4,,77.2,Not Eligible,0,0.225
STU-4194,25EC694,ECE,2,93.6,7.8,7.75,stable,0,79.6,100.0,40,49.8,,78.7,Not Eligible,0,0.109
STU-4564,25EC164,ECE,2,88.5,6.16,6.16,stable,0,55.6,76.9,44,54.1,,75.4,Not Eligible,0,0.186
STU-6629,24ME429,Mechanical,4,74.1,7.33,7.29,stable,0,77.2,75.5,86,38.1,,73.1,Not Eligible,0,0.17
STU-1479,22CS679,CSE,7,81.2,8.16,7.31,improving,0,81.1,85.1,149,53.5,Completed,87.3,Placed,0,0.145
STU-0083,24CS183,CSE,3,72.0,8.93,8.94,stable,0,91.8,76.5,65,38.9,,95.7,Not Eligible,0,0.082
STU-3480,23IT880,IT,5,84.2,6.56,5.97,improving,0,69.5,84.2,105,68.3,,61.4,Eligible,0,0.06
STU-1167,22CS367,CSE,7,83.6,8.08,8.0,stable,0,82.9,81.9,145,72.4,,75.5,Placed,0,0.07
STU-3766,25EC266,ECE,1,76.5,5.84,5.71,stable,0,56.4,67.2,21,46.9,,52.8,Not Eligible,0,0.235
STU-1048,25CS248,CSE,1,83.4,8.99,9.19,declining,0,96.3,93.5,23,89.8,,54.5,Not Eligible,0,0.113
STU-3484,22IT884,IT,7,75.2,7.09,7.07,stable,0,80.6,82.5,143,63.4,,75.7,Placed,0,0.103
STU-7247,25ME147,Mechanical,2,77.3,7.04,7.02,stable,0,75.4,76.0,40,98.0,,71.2,Not Eligible,0,0.167
STU-6091,25EE791,EEE,2,91.6,7.19,7.46,declining,0,75.4,95.9,38,98.0,,75.6,Not Eligible,0,0.127
STU-2061,25CS361,CSE,1,66.4,9.95,9.8,improving,0,99.0,71.0,18,55.0,,98.0,Not Eligible,0,0.186
STU-0497,23CS597,CSE,5,72.4,8.14,8.62,declining,1,76.4,63.1,97,59.6,Completed,76.9,In Process,0,0.444
STU-1753,25CS953,CSE,1,80.6,7.93,7.97,stable,0,82.8,85.4,21,28.2,,98.0,Not Eligible,0,0.105
STU-0135,22CS235,CSE,8,90.1,6.53,6.28,improving,0,57.7,82.6,168,37.4,,74.2,Not Eligible,0,0.167
STU-3412,25IT812,IT,2,75.5,8.89,8.75,stable,0,82.9,73.2,40,48.8,,97.4,Not Eligible,0,0.08
STU-3564,25EC964,ECE,1,78.4,7.92,7.77,improving,0,84.0,77.8,23,66.6,,60.3,Not Eligible,0,0.053
STU-0519,22CS619,CSE,8,81.2,7.41,7.9,declining,0,75.7,78.9,164,40.9,Ongoing,65.3,Placed,0,0.092
STU-3097,24IT497,IT,3,87.1,5.74,6.09,declining,0,58.1,91.3,63,74.0,,30.0,Not Eligible,0,0.25
STU-6968,25ME768,Mechanical,2,84.7,5.15,4.92,improving,1,51.0,77.6,36,98.0,,42.9,Not Eligible,1,0.684
STU-7630,23CI530,Civil,6,73.9,7.19,6.77,improving,0,69.9,77.7,122,43.5,,72.4,Eligible,0,0.094
STU-5657,25EE357,EEE,1,71.3,6.33,6.75,declining,1,60.2,73.3,19,98.0,Ongoing,67.3,Not Eligible,0,0.364
STU-2888,23IT288,IT,5,92.3,9.6,9.73,stable,0,92.5,95.2,106,52.3,,97.2,Eligible,0,0.132
STU-1171,23CS371,CSE,5,76.9,9.18,9.82,declining,0,87.4,66.0,107,62.2,Ongoing,56.1,Eligible,0,0.245
STU-6986,25ME786,Mechanical,2,81.0,7.41,7.82,declining,0,68.7,66.3,42,62.6,,98.0,Not Eligible,0,0.168
STU-4632,25EC232,ECE,2,80.2,7.31,6.7,improving,0,77.1,80.7,43,51.0,,54.9,Not Eligible,0,0.141
STU-6350,23ME150,Mechanical,5,75.2,6.87,7.27,declining,0,74.8,75.1,107,64.7,,62.7,Eligible,0,0.171
STU-4532,23EC132,ECE,6,96.7,9.03,8.58,improving,0,96.6,98.4,128,63.7,,98.0,Eligible,0,0.056
STU-5476,25EE176,EEE,1,65.9,7.54,6.98,improving,0,79.0,75.6,23,60.9,,61.8,Not Eligible,0,0.147
STU-5020,24EC620,ECE,3,79.0,8.33,8.55,declining,0,75.4,78.3,63,60.0,,97.0,Not Eligible,0,0.033
STU-8193,25CI193,Civil,2,67.0,7.38,6.92,improving,3,76.1,67.7,30,90.1,,78.9,Not Eligible,1,0.739
STU-2308,25IT608,IT,2,79.0,7.82,7.45,improving,0,84.9,94.2,44,69.3,,78.1,Not Eligible,0,0.067
STU-1441,22CS641,CSE,8,73.1,9.01,8.8,improving,0,93.1,76.2,164,35.9,Completed,84.1,Placed,0,0.057
STU-6824,22ME624,Mechanical,7,83.7,5.71,5.86,declining,0,60.9,83.8,149,39.4,,58.1,In Process,0,0.179
STU-2257,24IT557,IT,3,79.4,5.94,5.65,improving,0,62.0,79.2,63,51.5,,36.9,Not Eligible,0,0.201
STU-1435,25CS635,CSE,2,99.0,6.57,6.46,stable,0,59.8,83.7,40,85.6,,57.6,Not Eligible,0,0.076
STU-2722,24IT122,IT,4,76.4,6.8,6.74,stable,0,55.3,75.5,85,62.8,,74.4,Not Eligible,0,0.128
STU-7557,22ME457,Mechanical,8,74.5,7.64,7.54,stable,0,73.5,78.3,169,98.0,Completed,72.0,Placed,0,0.065
STU-0108,23CS208,CSE,6,76.9,6.76,6.84,stable,1,57.6,77.8,123,62.7,Completed,69.4,In Process,0,0.223
STU-2749,22IT149,IT,8,89.7,7.55,7.82,declining,0,72.0,79.8,168,51.2,Completed,53.8,Placed,0,0.082
STU-7502,25ME402,Mechanical,1,80.8,7.79,6.69,improving,0,82.5,77.5,18,11.5,,67.8,Not Eligible,0,0.087
STU-4343,25EC843,ECE,2,83.2,7.17,6.93,improving,0,81.0,81.2,44,18.0,,53.9,Not Eligible,0,0.096
STU-3591,23EC991,ECE,5,83.1,7.69,7.79,stable,0,74.5,78.9,105,78.1,Ongoing,77.8,Eligible,0,0.126
STU-1586,25CS786,CSE,2,79.5,9.95,10.0,stable,0,94.5,82.0,40,92.4,,79.7,Not Eligible,0,0.131
STU-7743,23CI643,Civil,6,85.4,6.73,6.63,stable,0,71.8,87.4,122,49.3,Completed,71.1,Eligible,0,0.074
STU-8378,24CI378,Civil,3,71.7,7.15,7.6,declining,0,59.1,74.0,64,71.2,,54.3,Not Eligible,0,0.179
STU-5681,25EE381,EEE,1,85.7,7.6,7.7,stable,0,85.0,79.5,19,91.7,,68.9,Not Eligible,0,0.108
STU-6504,24ME304,Mechanical,4,69.2,8.14,8.47,declining,0,78.7,62.9,80,42.0,,90.4,Not Eligible,0,0.238
STU-3308,24IT708,IT,3,82.9,8.26,8.45,declining,0,87.1,84.0,64,80.1,,68.8,Not Eligible,0,0.101
STU-6118,23EE818,EEE,6,94.0,6.87,6.83,stable,0,69.0,100.0,122,60.9,,55.2,Eligible,0,0.064
STU-7468,24ME368,Mechanical,4,85.5,8.28,7.99,improving,0,81.8,79.7,82,55.9,,73.4,Not Eligible,0,0.064
STU-2139,25CS439,CSE,2,98.3,8.13,8.81,declining,0,84.5,89.8,42,26.5,,77.8,Not Eligible,0,0.263
STU-4635,25EC235,ECE,1,61.9,8.13,7.83,improving,0,86.8,59.2,18,40.4,,65.5,Not Eligible,0,0.453
STU-0655,24CS755,CSE,4,80.5,7.85,7.88,stable,0,72.3,78.9,82,5.0,,60.9,Not Eligible,0,0.255
STU-8125,25CI125,Civil,2,81.4,7.02,7.06,stable,0,65.1,80.7,44,95.3,,57.2,Not Eligible,0,0.067
STU-5819,22EE519,EEE,7,71.2,6.9,5.73,improving,1,69.9,67.0,141,59.7,Completed,79.5,In Process,0,0.215
STU-2426,22IT726,IT,8,73.2,8.67,8.51,improving,0,77.0,65.3,170,58.9,Ongoing,78.0,Placed,0,0.153
STU-2664,23IT964,IT,5,66.2,8.91,9.75,declining,0,86.7,63.8,101,73.7,Ongoing,68.1,Eligible,1,0.527
STU-6561,23ME361,Mechanical,6,78.4,8.01,7.68,improving,0,78.9,87.8,122,90.9,,91.3,Eligible,0,0.146
STU-0770,22CS870,CSE,7,79.9,8.56,8.92,declining,0,81.9,86.4,148,48.0,Completed,90.5,Placed,0,0.128
STU-4534,24EC134,ECE,3,87.3,6.67,6.19,improving,1,70.5,82.3,60,70.7,,58.2,Not Eligible,0,0.297
STU-2082,25CS382,CSE,1,87.7,7.98,8.2,declining,0,80.9,74.9,21,43.6,,69.1,Not Eligible,0,0.07
STU-2025,24CS325,CSE,4,84.9,7.17,7.35,declining,0,78.3,79.9,80,83.5,,75.0,Not Eligible,0,0.113
STU-8113,22CI113,Civil,7,98.8,7.68,7.94,declining,0,75.4,85.3,145,58.1,,70.2,Not Eligible,0,0.112
STU-3355,22IT755,IT,8,73.1,8.52,8.12,improving,0,89.2,70.4,169,59.3,Completed,72.2,Placed,0,0.137
STU-4686,25EC286,ECE,2,79.5,9.02,9.77,declining,0,94.7,82.4,42,22.8,,98.0,Not Eligible,0,0.367
STU-5652,25EE352,EEE,1,82.5,8.01,7.8,improving,0,73.4,83.8,18,7.4,Ongoing,70.5,Not Eligible,0,0.161
STU-6194,24EE894,EEE,3,81.5,6.83,7.13,declining,0,68.5,74.4,59,27.7,,64.7,Not Eligible,0,0.134
STU-6375,22ME175,Mechanical,7,81.8,7.74,7.13,improving,0,77.7,79.6,147,16.8,,83.2,In Process,0,0.168
STU-7235,22ME135,Mechanical,7,80.2,7.14,7.42,declining,0,71.0,90.7,148,46.3,,80.1,In Process,0,0.068
STU-5822,23EE522,EEE,5,73.7,6.86,6.97,stable,0,67.8,96.3,106,82.6,,73.3,Eligible,0,0.091
STU-0242,22CS342,CSE,8,82.8,9.48,9.86,declining,0,99.0,73.1,169,20.9,Completed,71.9,Placed,0,0.129
STU-5418,22EE118,EEE,8,88.6,8.37,8.11,improving,0,86.0,92.4,164,32.9,Ongoing,81.3,Placed,0,0.13
STU-6926,22ME726,Mechanical,8,75.4,7.38,7.25,stable,1,83.3,72.0,164,98.0,,40.4,In Process,0,0.252
STU-3163,24IT563,IT,3,89.1,9.26,9.01,improving,0,88.9,81.4,61,48.7,,83.0,Not Eligible,0,0.099
STU-3953,22EC453,ECE,7,86.0,8.04,7.81,improving,0,85.3,87.1,147,59.9,Ongoing,82.4,Placed,0,0.134
STU-3187,24IT587,IT,3,76.0,9.09,8.98,stable,0,94.3,80.2,65,92.4,,82.0,Not Eligible,0,0.101
STU-4431,23EC931,ECE,6,81.2,9.95,10.0,stable,0,95.7,77.5,124,44.2,Completed,85.2,Eligible,0,0.103
STU-0494,25CS594,CSE,2,89.6,6.72,6.85,stable,0,65.9,85.4,42,39.9,,43.8,Not Eligible,0,0.069
STU-4716,23EC316,ECE,6,81.9,8.15,8.27,stable,0,89.5,74.4,126,22.3,Completed,60.0,Eligible,0,0.111
STU-5035,23EC635,ECE,6,69.7,6.41,6.82,declining,0,65.3,68.1,127,83.4,Ongoing,48.4,In Process,0,0.292
STU-3088,22IT488,IT,8,81.3,9.06,9.3,declining,0,92.5,70.6,166,46.1,Completed,85.8,Placed,0,0.144
STU-7882,22CI782,Civil,8,84.2,6.77,6.58,improving,0,66.6,82.2,169,41.2,Ongoing,72.2,Not Eligible,0,0.07
STU-2723,25IT123,IT,2,74.3,8.19,8.56,declining,0,80.6,76.8,43,91.3,,59.7,Not Eligible,0,0.193
STU-3796,25EC296,ECE,1,82.5,9.25,9.54,declining,0,95.6,92.0,19,5.4,,90.2,Not Eligible,0,0.386
STU-4593,24EC193,ECE,3,99.0,8.47,8.31,improving,0,72.8,98.7,63,46.4,,66.7,Not Eligible,0,0.082
